image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.765548,bus,van,False
drive_022,2,3,0.766935,car,car,True
drive_022,3,1,0.586481,car,car,True
drive_022,4,4,0.754568,car,car,True
drive_022,5,5,0.835498,truck,bus,False
drive_033,1,2,0.644191,truck,bus,False
drive_033,2,1,0.862613,bus,van,False
drive_033,3,12,0.88084,bus,van,False
drive_033,4,3,0.722651,car,car,True
drive_033,5,7,0.892895,car,car,True
drive_033,6,5,0.55972,car,car,True
drive_033,8,9,0.663278,car,car,True
drive_033,10,4,0.642989,car,car,True
drive_033,22,6,0.597147,car,car,True
drive_033,23,8,0.841811,car,car,True
drive_033,24,10,0.852055,car,car,True
drive_033,31,11,0.821165,car,car,True
drive_038,1,2,0.960656,car,car,True
drive_038,2,3,0.878613,car,car,True
drive_038,3,1,0.798749,car,car,True
drive_038,4,4,0.887064,car,car,True
drive_038,5,17,0.825307,car,car,True
drive_038,6,16,0.881469,car,car,True
drive_038,8,7,0.777109,car,car,True
drive_038,9,8,0.871957,car,car,True
drive_038,10,6,0.855936,car,car,True
drive_038,13,13,0.830195,car,car,True
drive_038,14,11,0.688684,car,car,True
drive_038,15,12,0.668495,car,car,True
drive_038,17,14,0.729415,car,car,True
drive_038,25,9,0.851908,truck,bus,False
drive_038,26,5,0.893729,truck,bus,False
drive_038,27,15,0.86794,van,truck,False
drive_008,1,6,0.927591,car,car,True
drive_008,2,4,0.867085,car,car,True
drive_008,3,11,0.907558,car,car,True
drive_008,4,16,0.933109,car,car,True
drive_008,5,2,0.902313,car,car,True
drive_008,11,15,0.184076,car,car,True
drive_008,12,14,0.836193,car,car,True
drive_008,13,13,0.66102,car,car,True
drive_008,14,7,0.851995,car,car,True
drive_008,21,1,0.836323,truck,bus,False
drive_008,22,9,0.952763,bus,van,False
drive_008,24,3,0.93809,van,truck,False
drive_008,25,5,0.81135,van,truck,False
drive_008,27,12,0.77312,van,truck,False
